room_type_Entire home/apt,neighbourhood_group_Manhattan,room_type_Shared room,neighbourhood_group_Bronx,minimum_nights,availability_365,neighbourhood_encoded,calculated_host_listings_count,number_of_reviews,price
True,True,False,False,3,0,470,1,0,5.14166355650266
True,False,False,False,2,8,3920,1,27,4.795790545596741
True,False,False,False,3,201,390,1,13,4.795790545596741
True,True,False,False,1,33,1545,1,68,5.081404364984463
False,True,False,False,1,223,72,1,103,4.61512051684126
False,False,False,False,1,293,537,2,33,4.02535169073515
False,False,False,False,1,0,56,1,13,3.9318256327243257
False,True,False,False,10,131,911,1,56,4.276666119016055
False,False,False,False,7,40,2465,1,0,3.6635616461296463
False,False,False,False,3,264,3714,3,115,4.382026634673881
True,True,False,False,2,51,768,1,4,5.62040086571715
False,False,False,False,1,58,535,7,12,4.02535169073515
True,False,False,False,4,170,3920,2,62,5.942799375126701
False,False,False,False,7,49,1115,1,5,4.709530201312334
True,False,False,False,2,99,2465,2,6,5.860786223465865
True,False,False,False,1,0,83,1,0,5.298317366548036
False,True,False,False,2,7,2658,1,138,4.543294782270004
False,False,True,False,1,140,363,3,36,3.4339872044851463
True,True,False,False,30,364,392,49,0,5.5053315359323625
True,True,False,False,4,40,744,1,51,5.420534999272286
False,True,False,False,3,0,1117,2,0,5.303304908059076
True,True,False,False,1,0,1545,1,7,4.983606621708336
True,True,False,False,4,169,368,1,3,5.69035945432406
False,False,False,False,3,0,3920,1,0,4.189654742026425
True,True,False,False,1,0,1798,1,3,4.663439094112067
True,True,False,False,30,339,1958,31,1,5.017279836814924
True,True,False,False,2,5,368,1,3,5.003946305945459
True,False,False,False,1,0,3714,1,0,5.303304908059076
True,False,False,False,1,0,55,1,2,4.2626798770413155
False,False,False,False,1,0,1115,1,1,3.828641396489095
True,True,False,False,7,0,1113,1,6,5.62040086571715
False,True,False,False,5,43,1958,2,110,4.564348191467836
True,False,False,False,2,41,3714,1,107,4.61512051684126
True,False,False,False,3,327,500,4,51,4.7535901911063645
True,True,False,False,30,336,744,96,2,5.081404364984463
True,True,False,False,1,203,744,6,25,6.26530121273771
False,True,False,False,2,39,1958,1,188,4.454347296253507
False,False,False,False,2,224,390,5,6,3.6888794541139363
False,True,False,False,3,0,2658,1,1,5.298317366548036
True,True,False,False,14,282,1971,1,22,4.983606621708336
False,False,False,False,1,0,1115,3,3,4.330733340286331
